epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.07914463430643082,1e-05,0.8395249247550964,1.0712932348251343,0.011744469404220581,0.15592139959335327,0.2157437950372696
1,0.07909492403268814,1e-05,0.8399377465248108,1.0672800540924072,0.014552198350429535,0.18299397826194763,0.25418686866760254
2,0.07409664243459702,1e-05,0.7896068692207336,1.0001786947250366,0.016514508053660393,0.20617307722568512,0.26952144503593445
3,0.0749468207359314,1e-05,0.7982596158981323,1.0164109468460083,0.020215343683958054,0.24569076299667358,0.3078182339668274
4,0.07280943542718887,5e-06,0.7764661312103271,0.9970331788063049,0.019212324172258377,0.2368270456790924,0.29991981387138367
5,0.07099682092666626,5e-06,0.7587282657623291,0.9882819056510925,0.01677875407040119,0.21152950823307037,0.2727693021297455
6,0.068702831864357,5e-06,0.7355719804763794,0.9362161755561829,0.02035694569349289,0.24777595698833466,0.309484601020813
7,0.07394702732563019,2.5e-06,0.7879934310913086,1.007367730140686,0.025556357577443123,0.30435019731521606,0.36178332567214966
